2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,2.0
2020-02-01,2.0
2020-02-02,2.0
2020-02-03,2.0
2020-02-04,2.0
2020-02-05,2.0
2020-02-06,2.0
2020-02-07,3.0
2020-02-08,3.0
2020-02-09,3.0
2020-02-10,3.0
2020-02-11,3.0
2020-02-12,3.0
2020-02-13,3.0
2020-02-14,3.0
2020-02-15,3.0
2020-02-16,3.0
2020-02-17,3.0
2020-02-18,3.0
2020-02-19,3.0
2020-02-20,3.0
2020-02-21,20.0
2020-02-22,62.0
2020-02-23,155.0
2020-02-24,229.0
2020-02-25,322.0
2020-02-26,453.0
2020-02-27,655.0
2020-02-28,888.0
2020-02-29,1128.0
2020-03-01,1694.0
2020-03-02,2036.0
2020-03-03,2502.0
2020-03-04,3089.0
2020-03-05,3858.0
2020-03-06,4636.0
2020-03-07,5883.0
2020-03-08,7375.0
2020-03-09,9172.0
2020-03-10,10149.0
2020-03-11,12462.0
2020-03-12,12462.0
2020-03-13,17660.0
2020-03-14,21157.0
2020-03-15,24747.0
2020-03-16,27980.0
2020-03-17,31506.0
2020-03-18,35713.0
2020-03-19,41035.0
2020-03-20,47021.0
2020-03-21,53578.0
2020-03-22,59138.0
2020-03-23,63927.0
2020-03-24,69176.0
2020-03-25,74386.0
2020-03-26,80589.0
2020-03-27,86498.0
2020-03-28,92472.0
2020-03-29,97689.0
2020-03-30,101739.0
2020-03-31,105792.0
2020-04-01,110574.0
2020-04-02,115242.0
2020-04-03,119827.0
2020-04-04,124632.0
2020-04-05,128948.0
2020-04-06,132547.0
2020-04-07,135586.0
